Month,Year,PRODUCTS,Quantity (000 Metric Tonnes),updated_date
February,2023,ATF,622.73,17-06-2023
January,2023,ATF,667.36,17-06-2023
December,2022,ATF,659,17-06-2023
November,2022,ATF,617.63,17-06-2023
October,2022,ATF,615.78,17-06-2023
September,2022,ATF,588.28,17-06-2023
August,2022,ATF,591.69,17-06-2023
July,2022,ATF,578.59,17-06-2023
June,2022,ATF,588.17,17-06-2023
May,2022,ATF,595.73,17-06-2023
April,2022,ATF,552.72,17-06-2023
March,2022,ATF,543,17-06-2023
February,2022,ATF,435,17-06-2023
January,2022,ATF,456,17-06-2023
December,2021,ATF,552,17-06-2023
November,2021,ATF,504,17-06-2023
October,2021,ATF,479,17-06-2023
September,2021,ATF,409,17-06-2023
August,2021,ATF,379,17-06-2023
July,2021,ATF,315,17-06-2023
June,2021,ATF,257,17-06-2023
May,2021,ATF,268,17-06-2023
April,2021,ATF,412,17-06-2023
March,2021,ATF,474,17-06-2023
February,2021,ATF,432,17-06-2023
January,2021,ATF,441,17-06-2023
December,2020,ATF,427,17-06-2023
November,2020,ATF,376,17-06-2023
October,2020,ATF,360,17-06-2023
September,2020,ATF,313,17-06-2023
August,2020,ATF,256,17-06-2023
July,2020,ATF,233,17-06-2023
June,2020,ATF,222,17-06-2023
May,2020,ATF,110,17-06-2023
April,2020,ATF,55,17-06-2023
February,2023,Bitumen,801.1,17-06-2023
January,2023,Bitumen,658.71,17-06-2023
December,2022,Bitumen,716.7,17-06-2023
November,2022,Bitumen,845.25,17-06-2023
October,2022,Bitumen,590.08,17-06-2023
September,2022,Bitumen,362.76,17-06-2023
August,2022,Bitumen,316.36,17-06-2023
July,2022,Bitumen,340.91,17-06-2023
June,2022,Bitumen,689.77,17-06-2023
May,2022,Bitumen,734.11,17-06-2023
April,2022,Bitumen,801.01,17-06-2023
March,2022,Bitumen,943,17-06-2023
February,2022,Bitumen,884,17-06-2023
January,2022,Bitumen,826,17-06-2023
December,2021,Bitumen,772,17-06-2023
November,2021,Bitumen,547,17-06-2023
October,2021,Bitumen,660,17-06-2023
September,2021,Bitumen,397,17-06-2023
August,2021,Bitumen,312,17-06-2023
July,2021,Bitumen,435,17-06-2023
June,2021,Bitumen,570,17-06-2023
May,2021,Bitumen,653,17-06-2023
April,2021,Bitumen,818,17-06-2023
March,2021,Bitumen,1012,17-06-2023
February,2021,Bitumen,853,17-06-2023
January,2021,Bitumen,821,17-06-2023
December,2020,Bitumen,856,17-06-2023
November,2020,Bitumen,717,17-06-2023
October,2020,Bitumen,640,17-06-2023
September,2020,Bitumen,415,17-06-2023
August,2020,Bitumen,270,17-06-2023
July,2020,Bitumen,414,17-06-2023
June,2020,Bitumen,751,17-06-2023
May,2020,Bitumen,590,17-06-2023
April,2020,Bitumen,187,17-06-2023
February,2023,FO & LSHS,568.64,17-06-2023
January,2023,FO & LSHS,601.05,17-06-2023
December,2022,FO & LSHS,622.03,17-06-2023
November,2022,FO & LSHS,579.44,17-06-2023
October,2022,FO & LSHS,592.4,17-06-2023
September,2022,FO & LSHS,604.33,17-06-2023
August,2022,FO & LSHS,616.91,17-06-2023
July,2022,FO & LSHS,557.56,17-06-2023
June,2022,FO & LSHS,550.19,17-06-2023
May,2022,FO & LSHS,548.23,17-06-2023
April,2022,FO & LSHS,521.99,17-06-2023
March,2022,FO & LSHS,590,17-06-2023
February,2022,FO & LSHS,530,17-06-2023
January,2022,FO & LSHS,543,17-06-2023
December,2021,FO & LSHS,566,17-06-2023
November,2021,FO & LSHS,500,17-06-2023
October,2021,FO & LSHS,559,17-06-2023
September,2021,FO & LSHS,543,17-06-2023
August,2021,FO & LSHS,517,17-06-2023
July,2021,FO & LSHS,470,17-06-2023
June,2021,FO & LSHS,504,17-06-2023
May,2021,FO & LSHS,422,17-06-2023
April,2021,FO & LSHS,517,17-06-2023
March,2021,FO & LSHS,507,17-06-2023
February,2021,FO & LSHS,476,17-06-2023
January,2021,FO & LSHS,516,17-06-2023
December,2020,FO & LSHS,529,17-06-2023
November,2020,FO & LSHS,483,17-06-2023
October,2020,FO & LSHS,480,17-06-2023
September,2020,FO & LSHS,452,17-06-2023
August,2020,FO & LSHS,458,17-06-2023
July,2020,FO & LSHS,469,17-06-2023
June,2020,FO & LSHS,466,17-06-2023
May,2020,FO & LSHS,469,17-06-2023
April,2020,FO & LSHS,283,17-06-2023
February,2023,HSD,6998.15,17-06-2023
January,2023,HSD,7178.76,17-06-2023
December,2022,HSD,7786.43,17-06-2023
November,2022,HSD,7762.77,17-06-2023
October,2022,HSD,6985.96,17-06-2023
September,2022,HSD,6252.52,17-06-2023
August,2022,HSD,6342.57,17-06-2023
July,2022,HSD,6633.36,17-06-2023
June,2022,HSD,7673.9,17-06-2023
May,2022,HSD,7287.41,17-06-2023
April,2022,HSD,7199.19,17-06-2023
March,2022,HSD,7704,17-06-2023
February,2022,HSD,6511,17-06-2023
January,2022,HSD,6366,17-06-2023
December,2021,HSD,7302,17-06-2023
November,2021,HSD,6506,17-06-2023
October,2021,HSD,6616,17-06-2023
September,2021,HSD,5513,17-06-2023
August,2021,HSD,5603,17-06-2023
July,2021,HSD,6134,17-06-2023
June,2021,HSD,6195,17-06-2023
May,2021,HSD,5532,17-06-2023
April,2021,HSD,6676,17-06-2023
March,2021,HSD,7225,17-06-2023
February,2021,HSD,6569,17-06-2023
January,2021,HSD,6806,17-06-2023
December,2020,HSD,7192,17-06-2023
November,2020,HSD,7039,17-06-2023
October,2020,HSD,7001,17-06-2023
September,2020,HSD,5487,17-06-2023
August,2020,HSD,4843,17-06-2023
July,2020,HSD,5506,17-06-2023
June,2020,HSD,6299,17-06-2023
May,2020,HSD,5494,17-06-2023
April,2020,HSD,3252,17-06-2023
February,2023,LDO,56.18,17-06-2023
January,2023,LDO,50.33,17-06-2023
December,2022,LDO,65.14,17-06-2023
November,2022,LDO,56.36,17-06-2023
October,2022,LDO,66.19,17-06-2023
September,2022,LDO,62.05,17-06-2023
August,2022,LDO,66.31,17-06-2023
July,2022,LDO,60.01,17-06-2023
June,2022,LDO,57.36,17-06-2023
May,2022,LDO,54.76,17-06-2023
April,2022,LDO,52.14,17-06-2023
March,2022,LDO,82,17-06-2023
February,2022,LDO,85,17-06-2023
January,2022,LDO,92,17-06-2023
December,2021,LDO,93,17-06-2023
November,2021,LDO,65,17-06-2023
October,2021,LDO,90,17-06-2023
September,2021,LDO,85,17-06-2023
August,2021,LDO,82,17-06-2023
July,2021,LDO,77,17-06-2023
June,2021,LDO,94,17-06-2023
May,2021,LDO,77,17-06-2023
April,2021,LDO,96,17-06-2023
March,2021,LDO,112,17-06-2023
February,2021,LDO,80,17-06-2023
January,2021,LDO,87,17-06-2023
December,2020,LDO,88,17-06-2023
November,2020,LDO,69,17-06-2023
October,2020,LDO,69,17-06-2023
September,2020,LDO,65,17-06-2023
August,2020,LDO,62,17-06-2023
July,2020,LDO,62,17-06-2023
June,2020,LDO,63,17-06-2023
May,2020,LDO,71,17-06-2023
April,2020,LDO,28,17-06-2023
February,2023,LPG,2391.27,17-06-2023
January,2023,LPG,2506.57,17-06-2023
December,2022,LPG,2569.59,17-06-2023
November,2022,LPG,2461.31,17-06-2023
October,2022,LPG,2394.04,17-06-2023
September,2022,LPG,2440.86,17-06-2023
August,2022,LPG,2388.16,17-06-2023
July,2022,LPG,2403.59,17-06-2023
June,2022,LPG,2225.5,17-06-2023
May,2022,LPG,2158.68,17-06-2023
April,2022,LPG,2157.46,17-06-2023
March,2022,LPG,2472,17-06-2023
February,2022,LPG,2393,17-06-2023
January,2022,LPG,2562,17-06-2023
December,2021,LPG,2469,17-06-2023
November,2021,LPG,2336,17-06-2023
October,2021,LPG,2481,17-06-2023
September,2021,LPG,2356,17-06-2023
August,2021,LPG,2317,17-06-2023
July,2021,LPG,2357,17-06-2023
June,2021,LPG,2251,17-06-2023
May,2021,LPG,2156,17-06-2023
April,2021,LPG,2102,17-06-2023
March,2021,LPG,2256,17-06-2023
February,2021,LPG,2262,17-06-2023
January,2021,LPG,2490,17-06-2023
December,2020,LPG,2523,17-06-2023
November,2020,LPG,2352,17-06-2023
October,2020,LPG,2421,17-06-2023
September,2020,LPG,2261,17-06-2023
August,2020,LPG,2262,17-06-2023
July,2020,LPG,2258,17-06-2023
June,2020,LPG,2064,17-06-2023
May,2020,LPG,2296,17-06-2023
April,2020,LPG,2113,17-06-2023
February,2023,Lubricants & Greases,347.83,17-06-2023
January,2023,Lubricants & Greases,354.32,17-06-2023
December,2022,Lubricants & Greases,297.38,17-06-2023
November,2022,Lubricants & Greases,301.91,17-06-2023
October,2022,Lubricants & Greases,354.74,17-06-2023
September,2022,Lubricants & Greases,266.27,17-06-2023
August,2022,Lubricants & Greases,242.84,17-06-2023
July,2022,Lubricants & Greases,310.69,17-06-2023
June,2022,Lubricants & Greases,290.92,17-06-2023
May,2022,Lubricants & Greases,300.93,17-06-2023
April,2022,Lubricants & Greases,318.16,17-06-2023
March,2022,Lubricants & Greases,538,17-06-2023
February,2022,Lubricants & Greases,380,17-06-2023
January,2022,Lubricants & Greases,310,17-06-2023
December,2021,Lubricants & Greases,450,17-06-2023
November,2021,Lubricants & Greases,354,17-06-2023
October,2021,Lubricants & Greases,458,17-06-2023
September,2021,Lubricants & Greases,377,17-06-2023
August,2021,Lubricants & Greases,364,17-06-2023
July,2021,Lubricants & Greases,319,17-06-2023
June,2021,Lubricants & Greases,316,17-06-2023
May,2021,Lubricants & Greases,318,17-06-2023
April,2021,Lubricants & Greases,355,17-06-2023
March,2021,Lubricants & Greases,398,17-06-2023
February,2021,Lubricants & Greases,388,17-06-2023
January,2021,Lubricants & Greases,392,17-06-2023
December,2020,Lubricants & Greases,439,17-06-2023
November,2020,Lubricants & Greases,421,17-06-2023
October,2020,Lubricants & Greases,391,17-06-2023
September,2020,Lubricants & Greases,396,17-06-2023
August,2020,Lubricants & Greases,366,17-06-2023
July,2020,Lubricants & Greases,346,17-06-2023
June,2020,Lubricants & Greases,244,17-06-2023
May,2020,Lubricants & Greases,148,17-06-2023
April,2020,Lubricants & Greases,168,17-06-2023
February,2023,MS,2776.4,17-06-2023
January,2023,MS,2827.46,17-06-2023
December,2022,MS,2983.7,17-06-2023
November,2022,MS,2860.91,17-06-2023
October,2022,MS,2996.49,17-06-2023
September,2022,MS,2827.02,17-06-2023
August,2022,MS,3005.64,17-06-2023
July,2022,MS,2808.35,17-06-2023
June,2022,MS,2968.47,17-06-2023
May,2022,MS,3016.92,17-06-2023
April,2022,MS,2797.36,17-06-2023
March,2022,MS,2908,17-06-2023
February,2022,MS,2550,17-06-2023
January,2022,MS,2473,17-06-2023
December,2021,MS,2816,17-06-2023
November,2021,MS,2645,17-06-2023
October,2021,MS,2750,17-06-2023
September,2021,MS,2598,17-06-2023
August,2021,MS,2692,17-06-2023
July,2021,MS,2630,17-06-2023
June,2021,MS,2409,17-06-2023
May,2021,MS,1991,17-06-2023
April,2021,MS,2386,17-06-2023
March,2021,MS,2740,17-06-2023
February,2021,MS,2472,17-06-2023
January,2021,MS,2611,17-06-2023
December,2020,MS,2706,17-06-2023
November,2020,MS,2665,17-06-2023
October,2020,MS,2655,17-06-2023
September,2020,MS,2451,17-06-2023
August,2020,MS,2382,17-06-2023
July,2020,MS,2261,17-06-2023
June,2020,MS,2282,17-06-2023
May,2020,MS,1771,17-06-2023
April,2020,MS,973,17-06-2023
February,2023,Naphtha,1061.06,17-06-2023
January,2023,Naphtha,1158.88,17-06-2023
December,2022,Naphtha,1039.61,17-06-2023
November,2022,Naphtha,931.29,17-06-2023
October,2022,Naphtha,860.54,17-06-2023
September,2022,Naphtha,1008.58,17-06-2023
August,2022,Naphtha,1088.62,17-06-2023
July,2022,Naphtha,1150.92,17-06-2023
June,2022,Naphtha,947.95,17-06-2023
May,2022,Naphtha,828.49,17-06-2023
April,2022,Naphtha,973.56,17-06-2023
March,2022,Naphtha,1132,17-06-2023
February,2022,Naphtha,1100,17-06-2023
January,2022,Naphtha,1196,17-06-2023
December,2021,Naphtha,1099,17-06-2023
November,2021,Naphtha,1066,17-06-2023
October,2021,Naphtha,1180,17-06-2023
September,2021,Naphtha,1016,17-06-2023
August,2021,Naphtha,920,17-06-2023
July,2021,Naphtha,1116,17-06-2023
June,2021,Naphtha,1088,17-06-2023
May,2021,Naphtha,1171,17-06-2023
April,2021,Naphtha,1164,17-06-2023
March,2021,Naphtha,1280,17-06-2023
February,2021,Naphtha,1217,17-06-2023
January,2021,Naphtha,1209,17-06-2023
December,2020,Naphtha,1212,17-06-2023
November,2020,Naphtha,1403,17-06-2023
October,2020,Naphtha,1346,17-06-2023
September,2020,Naphtha,1120,17-06-2023
August,2020,Naphtha,1075,17-06-2023
July,2020,Naphtha,1297,17-06-2023
June,2020,Naphtha,1218,17-06-2023
May,2020,Naphtha,993,17-06-2023
April,2020,Naphtha,730,17-06-2023
February,2023,Others,1347.17,17-06-2023
January,2023,Others,1104.31,17-06-2023
December,2022,Others,1339.64,17-06-2023
November,2022,Others,1127.79,17-06-2023
October,2022,Others,1366.51,17-06-2023
September,2022,Others,1064.97,17-06-2023
August,2022,Others,1516.43,17-06-2023
July,2022,Others,1213.42,17-06-2023
June,2022,Others,1190.7,17-06-2023
May,2022,Others,1305.15,17-06-2023
April,2022,Others,1282.7,17-06-2023
March,2022,Others,1116,17-06-2023
February,2022,Others,992,17-06-2023
January,2022,Others,1017,17-06-2023
December,2021,Others,981,17-06-2023
November,2021,Others,1143,17-06-2023
October,2021,Others,978,17-06-2023
September,2021,Others,1282,17-06-2023
August,2021,Others,968,17-06-2023
July,2021,Others,1185,17-06-2023
June,2021,Others,866,17-06-2023
May,2021,Others,873,17-06-2023
April,2021,Others,895,17-06-2023
March,2021,Others,1186,17-06-2023
February,2021,Others,993,17-06-2023
January,2021,Others,1119,17-06-2023
December,2020,Others,1009,17-06-2023
November,2020,Others,2516,17-06-2023
October,2020,Others,937,17-06-2023
September,2020,Others,894,17-06-2023
August,2020,Others,876,17-06-2023
July,2020,Others,932,17-06-2023
June,2020,Others,880,17-06-2023
May,2020,Others,769,17-06-2023
April,2020,Others,680,17-06-2023
February,2023,Petroleum coke,1492.96,17-06-2023
January,2023,Petroleum coke,1514.91,17-06-2023
December,2022,Petroleum coke,1418.6,17-06-2023
November,2022,Petroleum coke,1514.64,17-06-2023
October,2022,Petroleum coke,1722.47,17-06-2023
September,2022,Petroleum coke,1381.87,17-06-2023
August,2022,Petroleum coke,1230.47,17-06-2023
July,2022,Petroleum coke,1668.61,17-06-2023
June,2022,Petroleum coke,1297.11,17-06-2023
May,2022,Petroleum coke,1472.02,17-06-2023
April,2022,Petroleum coke,1726.36,17-06-2023
March,2022,Petroleum coke,1373,17-06-2023
February,2022,Petroleum coke,1520,17-06-2023
January,2022,Petroleum coke,1782,17-06-2023
December,2021,Petroleum coke,1683,17-06-2023
November,2021,Petroleum coke,926,17-06-2023
October,2021,Petroleum coke,1202,17-06-2023
September,2021,Petroleum coke,891,17-06-2023
August,2021,Petroleum coke,928,17-06-2023
July,2021,Petroleum coke,1168,17-06-2023
June,2021,Petroleum coke,1004,17-06-2023
May,2021,Petroleum coke,981,17-06-2023
April,2021,Petroleum coke,797,17-06-2023
March,2021,Petroleum coke,1283,17-06-2023
February,2021,Petroleum coke,794,17-06-2023
January,2021,Petroleum coke,1004,17-06-2023
December,2020,Petroleum coke,1244,17-06-2023
November,2020,Petroleum coke,1145,17-06-2023
October,2020,Petroleum coke,1287,17-06-2023
September,2020,Petroleum coke,1108,17-06-2023
August,2020,Petroleum coke,1408,17-06-2023
July,2020,Petroleum coke,1648,17-06-2023
June,2020,Petroleum coke,1409,17-06-2023
May,2020,Petroleum coke,2500,17-06-2023
April,2020,Petroleum coke,775,17-06-2023
February,2023,SKO,33.27,17-06-2023
January,2023,SKO,33.31,17-06-2023
December,2022,SKO,39.73,17-06-2023
November,2022,SKO,38.47,17-06-2023
October,2022,SKO,33.56,17-06-2023
September,2022,SKO,40.97,17-06-2023
August,2022,SKO,31.55,17-06-2023
July,2022,SKO,23.24,17-06-2023
June,2022,SKO,45.29,17-06-2023
May,2022,SKO,67.7,17-06-2023
April,2022,SKO,72.28,17-06-2023
March,2022,SKO,114,17-06-2023
February,2022,SKO,117,17-06-2023
January,2022,SKO,126,17-06-2023
December,2021,SKO,119,17-06-2023
November,2021,SKO,123,17-06-2023
October,2021,SKO,125,17-06-2023
September,2021,SKO,132,17-06-2023
August,2021,SKO,129,17-06-2023
July,2021,SKO,130,17-06-2023
June,2021,SKO,136,17-06-2023
May,2021,SKO,136,17-06-2023
April,2021,SKO,105,17-06-2023
March,2021,SKO,155,17-06-2023
February,2021,SKO,137,17-06-2023
January,2021,SKO,146,17-06-2023
December,2020,SKO,135,17-06-2023
November,2020,SKO,155,17-06-2023
October,2020,SKO,139,17-06-2023
September,2020,SKO,167,17-06-2023
August,2020,SKO,132,17-06-2023
July,2020,SKO,161,17-06-2023
June,2020,SKO,161,17-06-2023
May,2020,SKO,181,17-06-2023
April,2020,SKO,129,17-06-2023
